2026-05-15 07:28:10, MOVE, v:1, k:ed@treinando, mode:DOWN
2026-05-15 07:28:13, MOVE, v:1, k:ed@treinando, mode:PICK
2026-05-15 07:32:53, EXEC, v:1, k:ed@treinando, mode:FULL, rate:0, size:83
2026-05-15 07:28:10, MOVE, v:1, k:ed@treinando, mode:EDIT
2026-05-15 07:28:10, MOVE, v:1, k:ed@treinando, mode:EDIT
2026-05-15 07:32:43, MOVE, v:1, k:ed@treinando, mode:EDIT
2026-05-15 07:48:14, MOVE, v:1, k:ed@treinando, mode:EDIT
2026-05-15 07:53:58, MOVE, v:1, k:ed@treinando, mode:EDIT
2026-05-15 08:07:49, MOVE, v:1, k:ed@treinando, mode:EDIT
2026-05-15 08:12:44, MOVE, v:1, k:ed@treinando, mode:EDIT
2026-05-15 08:14:35, MOVE, v:1, k:ed@treinando, mode:BACK
2026-05-15 08:17:36, MOVE, v:1, k:ed@treinando, mode:PICK
2026-05-15 08:13:42, MOVE, v:1, k:ed@treinando, mode:EDIT
2026-05-15 08:21:55, MOVE, v:1, k:ed@treinando, mode:EDIT
2026-05-15 08:25:48, MOVE, v:1, k:ed@treinando, mode:BACK
