2026-05-16 10:33:29, MOVE, v:1, k:ed@treinando, mode:PICK
2026-05-16 10:38:19, MOVE, v:1, k:ed@treinando, mode:EDIT
2026-05-16 10:45:58, MOVE, v:1, k:ed@treinando, mode:EDIT
2026-05-16 10:51:01, MOVE, v:1, k:ed@treinando, mode:EDIT
2026-05-16 10:56:53, MOVE, v:1, k:ed@treinando, mode:EDIT
2026-05-16 11:07:58, MOVE, v:1, k:ed@treinando, mode:EDIT
2026-05-16 11:08:34, MOVE, v:1, k:ed@treinando, mode:EDIT
2026-05-16 11:25:46, MOVE, v:1, k:ed@treinando, mode:EDIT
2026-05-16 11:29:53, EXEC, v:1, k:ed@treinando, mode:FULL, rate:0, size:96
2026-05-16 11:32:07, MOVE, v:1, k:ed@treinando, mode:BACK
