2026-06-08 01:03:04, SELF, v:1, k:ed@editorint, self:1, rate:90, guided:1
2026-06-08 01:06:16, SELF, v:1, k:ed@fractais_png, self:1, rate:100, friend:jose luis, guided:1, concept:1
2026-06-08 01:06:57, SELF, v:1, k:ed@fractais_png, self:1, friend:jose luis, guided:1, concept:1
2026-06-08 11:54:01, MOVE, v:1, k:ed@editorint, mode:PICK
2026-06-08 11:57:26, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-08 11:54:51, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-08 11:57:23, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-08 12:01:42, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-08 12:02:58, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-08 12:03:11, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-08 12:03:22, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-08 12:04:25, MOVE, v:1, k:ed@editorint, mode:BACK
2026-06-08 12:03:17, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-08 12:09:55, MOVE, v:1, k:ed@editorint, mode:PICK
2026-06-08 12:10:40, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-08 12:11:08, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-08 12:12:32, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-08 12:12:36, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-08 12:13:04, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-08 12:13:17, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-08 12:14:06, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-08 12:15:02, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-08 12:17:18, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-08 12:17:11, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-08 12:17:44, EXEC, v:1, k:ed@editorint, mode:LOCK, rate:0, size:348
2026-06-08 12:17:46, EXEC, v:1, k:ed@editorint, mode:LOCK, rate:0
2026-06-08 12:18:53, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-08 12:20:05, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-08 12:21:46, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-08 12:22:26, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-08 12:21:39, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-08 12:19:21, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-08 12:23:08, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-08 12:23:33, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-08 12:23:56, MOVE, v:1, k:ed@editorint, mode:BACK
