2026-03-30 15:21:42, MOVE, v:1, k:ed@princesa, mode:PICK
2026-03-30 15:27:28, EXEC, v:1, k:ed@princesa, mode:FULL, size:39, fail:COMP
2026-03-30 15:27:38, EXEC, v:1, k:ed@princesa, mode:FULL, rate:0, size:39
2026-03-30 15:36:22, EXEC, v:1, k:ed@princesa, mode:FULL, rate:0, size:46
2026-03-30 15:38:33, EXEC, v:1, k:ed@princesa, mode:FULL, rate:0, size:49
2026-03-30 15:38:42, EXEC, v:1, k:ed@princesa, mode:FULL, rate:0, size:50
2026-03-30 15:38:51, EXEC, v:1, k:ed@princesa, mode:FULL, rate:0, size:50
2026-03-30 15:38:56, EXEC, v:1, k:ed@princesa, mode:FULL, rate:0, size:50
2026-03-30 15:41:01, EXEC, v:1, k:ed@princesa, mode:FULL, rate:0, size:50
2026-03-30 15:42:58, EXEC, v:1, k:ed@princesa, mode:FULL, rate:0, size:49
2026-03-30 15:43:25, EXEC, v:1, k:ed@princesa, mode:FULL, rate:0, size:49
2026-03-30 15:44:58, EXEC, v:1, k:ed@princesa, mode:FULL, size:49, fail:COMP
2026-03-30 15:45:13, EXEC, v:1, k:ed@princesa, mode:FULL, rate:0, size:49
2026-03-30 15:46:05, EXEC, v:1, k:ed@princesa, mode:FULL, rate:0, size:48
2026-03-30 15:47:46, EXEC, v:1, k:ed@princesa, mode:FULL, rate:0, size:47
2026-03-30 15:49:31, EXEC, v:1, k:ed@princesa, mode:FULL, rate:0
2026-03-30 15:50:20, EXEC, v:1, k:ed@princesa, mode:FULL, rate:0, size:51
2026-03-30 15:54:03, EXEC, v:1, k:ed@princesa, mode:FULL, rate:0, size:53
2026-03-30 15:57:44, EXEC, v:1, k:ed@princesa, mode:FULL, rate:0, size:57
2026-03-30 15:58:02, EXEC, v:1, k:ed@princesa, mode:FULL, rate:0, size:57
2026-03-30 15:58:38, EXEC, v:1, k:ed@princesa, mode:FULL, rate:0, size:58
2026-03-30 16:01:00, EXEC, v:1, k:ed@princesa, mode:FULL, rate:0, size:60
2026-03-30 16:01:51, EXEC, v:1, k:ed@princesa, mode:FULL, rate:0, size:60
2026-03-30 16:17:37, EXEC, v:1, k:ed@princesa, mode:FULL, size:61, fail:COMP
2026-03-30 16:17:41, MOVE, v:1, k:ed@princesa, mode:BACK
